Industry,Sub-sector,Sub level,Description
Consumer products,Food & beverage,Agricultural products,"Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the forest products sub-industry and those that package and market the food products classified in the packaged foods sub-industry."
Consumer products,Retail & logistics,Air freight & logistics,"Companies providing air freight transportation, courier and logistics services, including package and mail delivery and customs agents. Excludes those companies classified in the airlines, marine or trucking sub-industries."
Consumer products,Retail & logistics,"Apparel, accessories & luxury goods manufacturers","Manufacturers of apparel, accessories & luxury goods. Includes companies primarily producing designer handbags, wallets, luggage, jewellery and watches. Excludes shoes classified in the footwear sub-industry."
Consumer products,Retail & logistics,Apparel retail,Retailers specialised mainly in apparel and accessories.
Consumer products,Automotive,Automobile manufacturers,Companies that produce mainly passenger automobiles and light trucks. Excludes companies producing mainly motorcycles and three-wheelers classified in the motorcycle manufacturers sub-industry and heavy duty trucks classified in the construction & farm machinery & heavy trucks sub-industry.
Consumer products,Automotive,Automobile parts & equipment manufacturers,Manufacturers of parts and accessories for  automobiles and motorcycles. Excludes companies classified in the tyres & rubber sub-industry.
Consumer products,Automotive,Automotive retail,"Owners and operators of stores specialising in automotive retail.  Includes auto dealers, gas stations, and retailers of auto accessories, motorcycles & parts, automotive glass, and automotive equipment & parts."
Consumer products,Food & beverage,Beverage distributors,Distributors of alcoholic and non-alcoholic products to other companies and not directly to the consumer.
Consumer products,Food & beverage,Beverages producers,Producers of beer and malt liquors. Includes breweries not classified in the restaurants sub-industry.
Consumer products,Retail & logistics,Catalogue retail,Mail order and TV home shopping retailers. Includes companies that provide door-to-door retail.
Consumer products,Retail & logistics,Computer & electronics retail,"Owners and operators of consumer electronics, computers, video and related products retail stores."
Consumer products,Retail & logistics,Consumer electronics manufacturers,"Manufacturers of consumer electronics products including TVs, VCRs, hi-fi equipment, game consoles and related products. Excludes personal home computer manufacturers classified in the computer hardware sub-industry, and electric household appliances classified in the household appliances sub-industry."
Consumer products,Retail & logistics,Convenience stores,"Owners and operators of retail stores  that typically sell a limited line of high-convenience items and food basics, such as milk, bread, beverages, and snacks. Some also offer ready-made sandwiches and other prepared foods for immediate consumption along with an assortment of non-food items, such as magazines. Many sell gasoline, operator car washes and provide other automotive-related products."
Consumer products,Retail & logistics,Department stores,Owners and operators of department stores.
Consumer products,Retail & logistics,Distributors,Distributors and wholesalers of general merchandise not classified elsewhere. Includes vehicle distributors.
